Media Backup Manager 1.6.8 - resolved Cargo package/license inventory
Generated from: cargo metadata --locked --format-version 1
Resolved package records: 503

NAME	VERSION	DECLARED LICENSE	REPOSITORY
ab_glyph	0.2.32	Apache-2.0	https://github.com/alexheretic/ab-glyph
ab_glyph_rasterizer	0.1.10	Apache-2.0	https://github.com/alexheretic/ab-glyph
accesskit	0.16.3	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit
accesskit_atspi_common	0.9.3	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit
accesskit_consumer	0.24.3	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit
accesskit_macos	0.17.4	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit
accesskit_unix	0.12.3	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit
accesskit_windows	0.23.2	MIT OR Apache-2.0	https://github.com/AccessKit/accesskit
accesskit_winit	0.22.4	Apache-2.0	https://github.com/AccessKit/accesskit
adler2	2.0.1	0BSD OR MIT OR Apache-2.0	https://github.com/oyvindln/adler2
ahash	0.8.12	MIT OR Apache-2.0	https://github.com/tkaitchuck/ahash
android-activity	0.6.1	MIT OR Apache-2.0	https://github.com/rust-mobile/android-activity
android-properties	0.2.2	MIT	https://github.com/miklelappo/android-properties
android_system_properties	0.1.6	MIT OR Apache-2.0	https://github.com/nical/android_system_properties
arboard	3.6.1	MIT OR Apache-2.0	https://github.com/1Password/arboard
arrayref	0.3.9	BSD-2-Clause	https://github.com/droundy/arrayref
arrayvec	0.7.8	MIT OR Apache-2.0	https://github.com/bluss/arrayvec
as-raw-xcb-connection	1.0.1	MIT OR Apache-2.0	https://github.com/psychon/as-raw-xcb-connection
ash	0.38.0+1.3.281	MIT OR Apache-2.0	https://github.com/ash-rs/ash
ashpd	0.11.1	MIT	https://github.com/bilelmoussaoui/ashpd
async-broadcast	0.7.2	MIT OR Apache-2.0	https://github.com/smol-rs/async-broadcast
async-channel	2.5.0	Apache-2.0 OR MIT	https://github.com/smol-rs/async-channel
async-executor	1.14.0	Apache-2.0 OR MIT	https://github.com/smol-rs/async-executor
async-fs	2.2.0	Apache-2.0 OR MIT	https://github.com/smol-rs/async-fs
async-io	2.6.0	Apache-2.0 OR MIT	https://github.com/smol-rs/async-io
async-lock	3.4.2	Apache-2.0 OR MIT	https://github.com/smol-rs/async-lock
async-net	2.0.0	Apache-2.0 OR MIT	https://github.com/smol-rs/async-net
async-process	2.5.0	Apache-2.0 OR MIT	https://github.com/smol-rs/async-process
async-recursion	1.1.1	MIT OR Apache-2.0	https://github.com/dcchut/async-recursion
async-signal	0.2.14	Apache-2.0 OR MIT	https://github.com/smol-rs/async-signal
async-task	4.7.1	Apache-2.0 OR MIT	https://github.com/smol-rs/async-task
async-trait	0.1.92	MIT OR Apache-2.0	https://github.com/dtolnay/async-trait
atomic-waker	1.1.2	Apache-2.0 OR MIT	https://github.com/smol-rs/atomic-waker
atspi	0.22.0	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi
atspi-common	0.6.0	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi
atspi-connection	0.6.0	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi/
atspi-proxies	0.6.0	Apache-2.0 OR MIT	https://github.com/odilia-app/atspi
autocfg	1.5.1	Apache-2.0 OR MIT	https://github.com/cuviper/autocfg
base64	0.22.1	MIT OR Apache-2.0	https://github.com/marshallpierce/rust-base64
bit-set	0.6.0	MIT/Apache-2.0	https://github.com/contain-rs/bit-set
bit-vec	0.7.0	MIT/Apache-2.0	https://github.com/contain-rs/bit-vec
bitflags	1.3.2	MIT/Apache-2.0	https://github.com/bitflags/bitflags
bitflags	2.13.1	MIT OR Apache-2.0	https://github.com/bitflags/bitflags
block	0.1.6	MIT	http://github.com/SSheldon/rust-block
block-buffer	0.10.4	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
block2	0.5.1	MIT	https://github.com/madsmtm/objc2
block2	0.6.2	MIT	https://github.com/madsmtm/objc2
blocking	1.7.0	Apache-2.0 OR MIT	https://github.com/smol-rs/blocking
bumpalo	3.20.3	MIT OR Apache-2.0	https://github.com/fitzgen/bumpalo
bytemuck	1.25.2	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
bytemuck_derive	1.12.0	Zlib OR Apache-2.0 OR MIT	https://github.com/Lokathor/bytemuck
byteorder-lite	0.1.0	Unlicense OR MIT	https://github.com/image-rs/byteorder-lite
bytes	1.12.1	MIT	https://github.com/tokio-rs/bytes
calloop	0.13.0	MIT	https://github.com/Smithay/calloop
calloop	0.14.4	MIT	https://github.com/Smithay/calloop
calloop-wayland-source	0.3.0	MIT	https://github.com/smithay/calloop-wayland-source
calloop-wayland-source	0.4.1	MIT	https://github.com/smithay/calloop-wayland-source
cc	1.4.4	MIT OR Apache-2.0	https://github.com/rust-lang/cc-rs
cfg-if	1.0.4	MIT OR Apache-2.0	https://github.com/rust-lang/cfg-if
cfg_aliases	0.1.1	MIT	https://github.com/katharostech/cfg_aliases
cfg_aliases	0.2.2	MIT	https://github.com/katharostech/cfg_aliases
cgl	0.3.2	MIT / Apache-2.0	https://github.com/servo/cgl-rs
chacha20	0.10.1	MIT OR Apache-2.0	https://github.com/RustCrypto/stream-ciphers
chrono	0.4.45	MIT OR Apache-2.0	https://github.com/chronotope/chrono
clipboard-win	5.4.1	BSL-1.0	https://github.com/DoumanAsh/clipboard-win
codespan-reporting	0.11.1	Apache-2.0	https://github.com/brendanzab/codespan
com	0.6.0	MIT	https://github.com/microsoft/com-rs
com_macros	0.6.0	MIT	https://github.com/microsoft/com-rs
com_macros_support	0.6.0	MIT	https://github.com/microsoft/com-rs
combine	4.6.8	MIT	https://github.com/Marwes/combine
concurrent-queue	2.5.0	Apache-2.0 OR MIT	https://github.com/smol-rs/concurrent-queue
core-foundation	0.10.1	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-foundation	0.9.4	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-foundation-sys	0.8.7	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-graphics	0.23.2	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
core-graphics-types	0.1.3	MIT OR Apache-2.0	https://github.com/servo/core-foundation-rs
cpufeatures	0.2.17	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
cpufeatures	0.3.0	MIT OR Apache-2.0	https://github.com/RustCrypto/utils
crc32fast	1.5.1	MIT OR Apache-2.0	https://github.com/srijs/rust-crc32fast
crossbeam-utils	0.8.22	MIT OR Apache-2.0	https://github.com/crossbeam-rs/crossbeam
crypto-common	0.1.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits
cursor-icon	1.2.0	MIT OR Apache-2.0 OR Zlib	https://github.com/rust-windowing/cursor-icon
digest	0.10.7	MIT OR Apache-2.0	https://github.com/RustCrypto/traits
dispatch	0.2.0	MIT	http://github.com/SSheldon/rust-dispatch
dispatch2	0.3.1	Zlib OR Apache-2.0 OR MIT	https://github.com/madsmtm/objc2
displaydoc	0.2.7	MIT OR Apache-2.0	https://github.com/yaahc/displaydoc
dlib	0.5.3	MIT	https://github.com/elinorbgr/dlib
document-features	0.2.12	MIT OR Apache-2.0	https://github.com/slint-ui/document-features
downcast-rs	1.2.1	MIT/Apache-2.0	https://github.com/marcianx/downcast-rs
dpi	0.1.2	Apache-2.0 AND MIT	https://github.com/rust-windowing/winit
ecolor	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui
eframe	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui/tree/master/crates/eframe
egui	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui
egui-wgpu	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui/tree/master/crates/egui-wgpu
egui-winit	0.29.1	MIT OR Apache-2.0	https://github.com/emilk/egui/tree/master/crates/egui-winit
